day,start,end,start_time,end_time,room,cleared_prior,cleared_after,title,description
1,10:00 AM,11:00 PM,1000,1100,community-stage,?,?,CelloKat,
1,12:00 PM,1:00 PM,1200,1300,community-stage,?,?,Juliana Chahayed,
1,2:00 PM,3:00 PM,1400,1500,community-stage,?,?,Bumvox,
1,4:00 PM,5:00 PM,1600,1700,community-stage,?,?,Kat Padlan,
1,6:00 PM,7:00 PM,1800,1900,community-stage,?,?,Black Ros3,
1,8:00 PM,9:00 PM,2000,2100,community-stage,?,?,The Corps Dance Crew,
2,10:00 AM,11:00 PM,1000,1100,community-stage,?,?,OR3O,
2,12:00 PM,1:00 PM,1200,1300,community-stage,?,?,Hamu Cotton,
2,2:00 PM,3:00 PM,1400,1500,community-stage,?,?,Colin and Steve's Lofi Living Room,
2,4:00 PM,5:00 PM,1600,1700,community-stage,?,?,Aimai Mirai,
2,6:00 PM,7:00 PM,1800,1900,community-stage,?,?,Just Cosplay Sings,
2,8:00 PM,9:00 PM,2000,2100,community-stage,?,?,TBD,
3,10:00 AM,11:00 PM,1000,1100,community-stage,?,?,Viorhythm,
3,12:00 PM,1:00 PM,1200,1300,community-stage,?,?,Ryukyukoku Matsuri Daiko - Los Angeles (RMDLA),
3,2:00 PM,3:00 PM,1400,1500,community-stage,?,?,KiAme and Friends,
3,4:00 PM,5:00 PM,1600,1700,community-stage,?,?,Tonario,
3,6:00 PM,7:00 PM,1800,1900,community-stage,?,?,David Erick Ramos,
3,8:00 PM,9:00 PM,2000,2100,community-stage,?,?,Fukuro,
4,10:00 AM,11:00 PM,1000,1100,community-stage,?,?,Stephanie Yanez,
4,12:00 AM,3:00 PM,1200,1500,community-stage,?,?,Charity Auction,
