day,start,end,start_time,end_time,room,cleared_prior,cleared_after,title,description
1,5:30 PM,6:20 PM,1730,1820,403-AB,N,N,HIDIVE Industry Panel + Level 1 Demon Lord US Premiere,"Join HIDIVE for new industry announcements AND the US premiere screening of the first episode of Kadokawa's Level 1 Demon Lord and One Room Hero, the hilarious new fantasy comedy that will leave audiences in stitches! Be among the first fans to see this fresh Summer 2023 simulcast and hear about the exciting new acquisitions coming to HIDIVE’s catalog of streaming anime. ***This room will NOT be cleared prior to this panel. This room will NOT be cleared after this panel.***"
1,5:30 PM,6:50 PM,1730,1850,406-AB,N,N,Origami: Hashi or Chopstick Holder and Wolf Claws,"The next time you're waiting for your food to arrive at a Japanese restaurant, you'll know how to fold your hashi wrapper into a ""bird"" chopstick holder. Then learn how to fold paper to make scary looking claws for your hands. ***This room will NOT be cleared prior to this panel. This room will NOT be cleared after this panel.***"
1,5:30 PM,6:20 PM,1730,1820,408-AB,N,N,A Cosplayer's Guide to Shopping in LA's Fashion District,"Los Angeles is home to a valuable resource for cosplayers - the Fashion District! This panel will tell you how to make the most out of your trip to the LA FD - store recommendations, saving money, getting there, and more! ***This room will NOT be cleared prior to this panel. This room will NOT be cleared after this panel.***"
1,5:30 PM,6:20 PM,1730,1820,411,N,N,Square Enix Manga & Books Announcements Panel,"Square Enix Manga & Books is back at AX! It's been over three years since we published our first title in Feb 2020. We're looking forward to telling you what new licenses the future holds for our publishing line! So come join us for our panel, get hyped, and leave with some rare swag! ***This room will NOT be cleared prior to this panel. This room will NOT be cleared after this panel.***"
1,5:30 PM,6:50 PM,1730,1850,511,N,N,Bang Zoom! Studios - Inside the Anime Dubbing/Subtitling Studio,"Join us for an informative discussion on the art of voice acting and subtitling! We'll share our insights and tips on breaking into the industry, acing auditions, and mastering the art of voice recording. You'll also get an in-depth look at the fascinating dubbing and subtitling process. This is a great opportunity to learn from the best and gain valuable knowledge about the industry. We hope to see you there! ***This room will NOT be cleared prior to this panel. This room will NOT be cleared after this panel.***"
1,6:00 PM,7:20 PM,1800,1920,jw-platinum,N,N,Love Live! Series Event: Nice to See You in LA!!,"Come join us in welcoming Yohane (CV: Aika Kobayashi), Kasumi Nakasu (CV: Mayu Sagara), and Kanon Shibuya (CV: Sayuri Date) to Los Angeles for a special Love Live! Series event including talk show, screenings, and more! ***This room will NOT be cleared prior to this panel. This room will NOT be cleared after this panel.***"
1,6:30 PM,7:20 PM,1830,1920,petree-hall,N,N,Behind the Scenes with VALORANT Esports,"Find out how Riot Games Creative and Esports teams built VALORANT into one of the world’s most globally resonant video games. Panel topics will include: Masters Tokyo manga/anime discussion, Champions LA overview + sneak peak, and a Q&A with the panelists. ***This room will NOT be cleared prior to this panel. This room will NOT be cleared after this panel.***"
1,6:30 PM,7:20 PM,1830,1920,404-AB,N,Y,Yen Press Industry Panel,"For over a decade Yen Press has been an industry leader in the world of manga, light novels, and Korean comics, publishing the likes of Toilet-bound Hanako-kun and Solo Leveling. Join Yen Press for groundbreaking announcements, amazing prizes, and a ton of fun! ***This room will NOT be cleared prior to this panel. This room will be cleared for the next panel.***"
1,6:30 PM,7:30 PM,1830,1930,515-B,?,?,Maid Cafe (After Dark 18+) - Sold Out,"Treat yourself to this spicier rendition of the Maid cast with Maid Café: After Dark. You are cordially invited to admire our squad of Bunny Girls and company with their captivating dances, musical performances, and much more! The After Dark shows will have you appreciate a little more play time with this special 18+ interactive experience."
1,7:00 PM,8:20 PM,1900,2020,main-events,N,N,Fate/strange Fake -Whispers of Dawn- World Premiere at Anime Expo 2023,"Aniplex of America presents the world premiere of Fate/strange Fake -Whispers of Dawn-! Be the first to experience a new Holy Grail in the western American city of Snowfield with the English dub screening of the highly anticipated TV special, plus appearances by special guests Directors Shun Enokido and Takahito Sakazume! ***This room will NOT be cleared prior to this panel. This room will NOT be cleared after this panel.***"
